,att1,att2,att3,att4,att5,att6,class
517,2,2,2,141,640,679,7
1733,2,2,2,943,57,949,7
1638,3,1,3,505,426,400,9
1678,2,1,1,504,676,462,0
291,1,4,2,99,1638,1724,3
242,1,3,1,1059,223,1458,1
85,3,1,3,985,259,603,9
1015,2,1,1,1291,603,337,0
108,1,4,2,287,690,32,2
1388,1,5,3,1537,1854,170,8
411,2,1,1,874,109,382,0
540,1,3,1,1557,1088,176,7
826,2,2,2,1125,566,1590,5
1130,1,3,1,1268,1786,769,4
1822,1,3,1,816,1452,728,6
692,2,1,1,1712,552,458,0
1444,2,2,2,1672,1811,1209,5
1088,3,1,3,1689,402,582,9
1342,2,2,2,143,42,808,7
993,2,2,2,628,1465,1122,7
452,1,3,1,27,889,637,4
17,1,4,2,72,910,701,8
596,1,4,2,51,1499,1721,8
34,2,2,2,179,1628,964,5
1052,1,4,2,1507,1042,152,3
1687,2,2,2,807,1016,1869,9
1887,1,4,2,1075,157,1621,2
413,2,2,2,1338,1738,723,9
1567,1,4,2,208,1416,1361,4
1696,1,3,1,346,385,128,3
1003,1,3,1,23,723,893,4
1419,2,2,2,18,1184,958,7
1308,1,3,1,1439,421,1600,1
439,2,1,1,1347,1324,303,0
1299,2,2,2,228,1421,1335,7
1123,1,4,2,214,1170,1382,4
67,3,1,3,929,875,489,9
116,1,3,1,393,1532,730,6
553,1,4,1,240,995,1534,1
1824,2,1,1,1696,391,366,0
514,1,3,1,1066,1149,1632,8
818,2,1,1,559,1306,270,0
838,1,3,1,1369,709,800,4
844,3,1,3,868,1072,690,9
477,2,1,1,1312,300,307,0
1347,2,2,2,720,323,1548,5
1316,2,1,1,913,1863,406,0
76,1,3,1,933,750,825,4
450,2,2,2,1714,1449,754,7
755,1,3,1,108,1768,1349,6
869,1,4,2,1240,442,1323,8
1312,1,4,2,785,1839,490,3
1363,3,1,3,934,1769,422,9
690,1,4,2,708,867,45,8
1598,2,1,1,861,1222,318,0
1056,2,1,1,1282,1587,221,0
1554,3,1,3,1263,670,497,9
1017,1,4,2,350,1846,24,8
637,1,3,1,530,197,717,4
1937,1,3,1,309,989,1835,1
1661,1,4,2,1238,168,1567,3
1249,1,3,1,31,1294,1374,4
1632,1,4,2,1640,692,1493,3
1410,3,1,3,467,314,552,9
1387,1,4,2,748,1378,26,8
963,1,3,1,1471,1830,1756,6
1197,1,3,1,584,1732,1041,4
1458,1,3,1,1430,1507,1396,1
375,1,3,1,740,429,1820,1
1048,3,1,3,462,1539,484,9
1122,2,2,2,906,332,1146,5
321,2,1,1,1693,906,285,0
709,1,3,1,1489,868,1781,1
60,3,1,3,932,241,488,9
545,1,4,2,1100,344,1769,1
1770,2,1,1,1684,1702,240,0
1798,2,1,1,485,400,361,0
647,2,2,2,1390,1624,1229,7
1507,1,3,1,1014,776,1126,4
1176,1,3,1,1437,625,1517,1
630,1,4,2,448,94,898,4
1382,2,1,1,1318,1444,333,0
299,2,1,1,480,806,230,0
1253,2,3,2,594,770,1021,7
1292,1,4,2,1646,1724,1723,3
213,1,3,1,767,1356,164,6
185,2,2,2,236,186,1324,7
685,1,4,2,1110,1594,141,3
1675,2,1,1,424,125,355,0
357,1,4,2,600,1210,1424,4
1258,1,4,2,725,1820,315,3
531,1,3,1,1601,1775,1213,3
581,1,3,1,426,607,1082,6
484,2,2,2,605,205,1022,5
1921,2,2,2,304,1216,998,7
1226,1,3,1,1101,633,1811,2
1,3,1,3,560,313,568,9
1229,1,5,3,1716,786,1354,2
314,1,3,1,1133,1245,70,6
1071,2,2,2,233,1469,1275,5
258,2,2,2,202,1815,1214,7
245,1,3,1,1162,788,320,6
1454,1,3,1,315,583,25,2
735,1,4,2,666,48,1737,2
746,1,3,1,443,193,1487,3
436,2,2,2,511,686,1084,5
227,1,3,1,808,7,692,6
1327,1,3,1,260,551,1696,2
906,2,2,2,494,1180,1012,7
582,1,4,2,654,1562,1859,2
883,1,3,1,1035,34,1281,1
712,1,3,1,925,1316,750,4
1059,1,4,2,1615,1467,1359,3
138,3,1,3,156,740,509,9
161,1,5,3,262,1251,1861,2
1117,1,3,1,48,561,1733,6
94,1,4,2,1107,993,64,8
1036,2,2,2,1353,1334,1052,5
1365,1,3,1,1609,1054,1033,6
974,1,4,2,109,1537,1689,3
1417,1,3,1,154,587,757,4
846,1,3,1,1375,1859,989,4
257,1,3,1,706,1459,1628,1
994,2,1,1,890,1511,323,0
1473,2,2,2,1393,76,1204,5
1616,1,3,1,1510,1037,1855,1
1735,1,3,1,916,1868,1271,4
913,1,3,1,773,701,194,3
616,1,4,2,1570,911,748,3
97,1,3,1,1042,1542,1584,2
729,1,4,2,1580,1534,1139,3
981,1,3,1,1578,433,475,6
23,1,3,1,54,1493,1604,8
617,2,2,2,1668,1603,1085,7
1140,1,3,1,1406,99,1342,1
1841,1,5,3,395,1414,919,8
700,2,1,1,568,270,632,0
802,1,3,1,899,599,1602,3
1723,2,1,1,1293,695,255,0
447,2,2,2,1375,1366,1072,7
1219,2,2,2,1030,1793,1179,5
1742,1,3,1,1461,1428,1615,1
799,1,3,1,664,60,1483,1
1244,2,2,2,1356,461,963,7
822,3,1,3,1333,96,623,9
1163,1,4,2,857,468,1735,3
1693,1,4,2,1135,394,96,2
231,2,1,1,167,512,261,0
1136,1,4,2,638,1023,1618,2
288,2,2,2,1465,1767,1500,7
504,1,4,2,1003,1771,1135,4
957,1,3,1,1425,613,1588,2
404,2,2,2,1009,682,1215,7
889,2,2,2,956,198,992,7
437,1,4,2,716,896,1784,1
1286,2,2,2,599,247,1168,7
1867,3,1,3,475,1158,411,9
841,3,1,3,556,490,428,9
968,2,2,2,917,714,1015,5
612,1,3,1,1200,985,570,6
1773,2,2,2,223,54,1080,5
78,1,3,1,84,1873,67,7
406,1,3,1,1197,1383,1131,3
649,2,1,1,167,546,451,0
1646,2,2,2,1375,1366,1072,5
1961,1,3,1,429,974,1447,3
1251,1,4,2,1691,1556,1110,4
829,1,4,2,1159,1068,1029,3
1740,1,3,1,308,83,1877,8
1241,1,3,1,648,1004,1566,2
1499,2,1,1,943,1680,237,0
1902,2,2,2,1624,107,62,9
1896,1,3,1,803,1869,726,6
283,1,4,2,408,1273,1280,3
218,1,3,1,562,1664,888,2
901,1,3,1,684,1755,942,4
767,1,4,2,607,1857,1216,4
1843,1,3,1,1671,1615,1377,1
731,1,3,1,1113,1690,1757,1
426,1,4,2,677,451,1716,2
1480,2,1,1,1702,1485,487,0
196,1,3,1,1038,1849,1375,1
808,1,3,1,1024,1754,1364,1
1432,1,4,2,520,225,758,4
533,2,2,2,1290,1555,1157,7
1973,1,4,2,1535,1871,3,8
1236,1,4,2,397,847,675,6
146,3,1,3,999,58,700,9
12,1,3,1,46,240,1672,2
1830,1,4,2,1441,404,910,4
1148,1,3,1,1418,1280,1470,1
556,1,3,1,618,1481,1400,1
631,2,1,1,125,545,394,0
1438,3,1,3,1683,1011,534,9
1753,1,3,1,1160,176,199,6
864,1,4,2,844,666,1648,3
1656,2,2,2,644,886,1314,7
315,1,3,1,811,874,843,6
1242,2,2,2,223,54,1080,7
306,2,2,2,950,190,915,5
1648,2,1,1,1712,1515,437,0
970,2,2,2,182,98,1174,7
1994,1,4,2,919,135,1695,1
1068,1,3,1,1034,1008,1654,2
1319,2,2,2,585,757,1009,5
536,1,4,2,843,550,1418,8
966,1,5,3,747,199,325,2
645,2,1,1,876,883,185,0
199,1,3,1,45,1376,1720,2
537,1,5,3,1497,1433,174,2
1972,1,3,1,905,619,1739,6
1398,1,3,1,257,1135,1441,1
821,2,2,2,1271,653,1045,5
1446,1,3,1,1102,227,1644,1
367,1,3,1,1171,449,1187,3
1984,1,3,1,629,81,1304,1
1580,2,2,2,1714,1449,754,5
952,2,1,1,523,1598,206,0
1911,1,3,1,1286,730,34,6
73,1,3,1,201,1463,1104,4
813,2,1,1,958,111,260,0
587,1,5,3,297,318,1742,8
915,2,2,2,311,574,1533,5
942,3,1,3,1540,893,669,9
81,1,3,1,1626,1841,1232,6
104,2,3,3,1463,716,1484,7
366,1,3,1,1466,440,1462,1
1573,1,3,1,830,480,991,6
119,2,2,2,976,1458,956,7
1464,2,2,2,1414,1821,1305,5
1120,1,4,2,1630,427,1545,3
1445,2,2,2,622,331,1327,5
327,1,5,3,104,1207,1816,8
1288,2,2,2,977,354,1151,7
1541,1,4,2,893,1043,1117,4
1085,2,2,2,642,1747,1333,7
16,1,3,1,596,540,1076,4
1245,2,2,2,1381,1060,1192,5
1623,2,2,2,1711,167,968,5
1633,1,3,1,1292,1187,759,4
1745,1,4,2,320,306,1841,1
856,1,4,2,682,1333,1885,2
478,1,3,1,603,850,787,4
1204,1,4,2,1627,1091,1572,3
65,2,1,1,954,1660,424,0
1784,1,4,2,1084,1812,1710,2
1022,2,2,2,1064,756,1394,7
1091,1,3,1,1569,1861,648,3
1483,1,3,1,194,1254,887,4
179,1,3,1,638,1494,1430,1
1538,2,1,1,382,894,153,0
1196,2,2,2,176,1024,1103,7
1487,2,2,2,906,1576,905,5
1689,1,4,2,1264,1430,1762,2
1515,1,4,2,1070,1339,1313,4
1683,1,4,2,296,1619,78,2
975,1,3,1,619,657,1330,6
1450,1,4,2,1093,1831,14,2
1724,1,3,1,1205,924,756,6
1193,2,2,2,1358,257,1004,5
401,2,2,2,189,866,1047,5
1357,1,4,2,1572,160,845,8
37,1,3,1,81,1063,790,8
1391,1,3,1,351,747,274,3
1587,3,1,3,234,1773,932,9
1378,1,4,1,1565,62,334,6
1144,2,2,2,269,645,1446,7
360,1,4,2,1099,1497,1829,2
377,1,4,2,245,368,1562,6
479,2,2,2,1366,210,1065,5
55,2,1,1,950,1266,383,0
1079,1,3,1,1092,158,1679,6
505,1,4,2,1239,1332,1476,3
1135,1,4,2,1509,631,83,2
1114,1,4,2,846,588,1321,8
394,2,2,2,1351,1877,994,7
246,1,3,1,812,178,513,6
732,1,3,1,1087,902,1642,1
1884,2,2,2,642,1747,1333,5
676,1,3,1,411,184,745,6
811,2,2,2,1037,646,1261,5
1468,2,2,2,302,70,1528,5
675,2,2,2,1288,1211,1147,7
861,1,3,1,235,132,1431,1
604,1,3,1,1247,215,1386,3
1913,1,4,2,1607,1392,1278,3
619,2,2,2,191,763,1109,7
1639,1,5,3,1479,1566,1812,8
498,3,1,3,951,1160,397,9
143,1,3,1,106,177,1609,6
904,1,3,1,809,1722,1294,3
562,1,4,2,1664,1586,1334,4
492,3,1,3,171,1205,592,9
622,1,3,1,457,93,1066,4
891,3,1,3,1360,1650,515,9
71,1,4,2,101,519,1633,3
991,1,4,2,1153,675,688,3
501,2,2,2,163,1109,766,7
1617,1,3,1,340,529,150,3
1255,2,2,2,204,724,1253,5
847,1,4,2,66,316,1025,3
281,3,1,3,134,1616,512,9
530,1,3,1,707,282,1754,1
1358,1,3,1,47,208,51,6
1393,2,1,1,452,165,317,0
1775,1,3,1,221,472,1130,1
1352,1,3,1,669,478,1543,1
1047,3,1,3,852,1411,665,9
297,2,2,2,982,1745,1121,7
837,1,3,1,1469,511,1627,2
164,1,4,2,1244,635,1635,8
557,2,1,1,1345,1064,362,0
1935,3,1,3,1685,1457,622,9
1578,1,3,1,303,528,1761,1
35,1,4,2,206,1197,1479,2
77,2,1,1,1354,713,404,0
1141,2,1,1,1341,681,313,0
1295,2,1,1,1380,813,593,0
1960,1,3,1,1579,470,724,8
433,2,2,2,158,1092,936,7
7,1,4,2,1410,1398,822,4
122,2,1,1,1138,1547,345,0
1260,1,4,2,675,830,1680,2
515,2,2,2,628,1465,1122,5
488,3,1,3,1348,328,455,9
948,1,4,2,853,1246,1449,3
117,3,1,3,885,1038,520,9
736,1,4,2,1591,1388,849,6
857,1,4,2,1437,1627,1522,1
63,1,3,1,56,411,1815,1
1926,2,2,2,850,764,1091,7
881,1,3,1,36,1757,1561,1
1774,1,4,2,1492,13,52,2
1672,1,4,1,1417,700,1328,2
453,2,2,2,181,1764,1013,5
304,1,5,3,283,1104,30,2
524,3,1,3,937,261,415,9
1543,1,3,1,1062,134,1466,1
1335,2,2,2,495,1117,933,7
1275,1,4,2,392,1450,761,8
1691,2,1,1,898,508,9,0
1412,3,1,3,1105,1162,627,9
99,2,2,2,1474,1081,1571,7
1697,2,2,2,896,1313,1155,7
339,1,4,2,288,789,1827,8
1437,1,3,1,1460,1379,1793,2
397,3,1,3,950,1719,812,9
969,2,2,2,594,560,1205,7
1925,1,4,2,496,151,809,3
407,1,3,1,1174,1076,609,6
389,1,4,2,1139,1393,1834,1
1038,1,4,2,77,513,1087,3
629,3,1,3,147,1112,519,9
1333,2,2,2,1012,482,1235,5
1331,1,5,3,1613,1777,1198,8
1502,2,1,1,1666,567,482,0
149,3,1,3,935,166,286,9
25,1,3,1,246,462,1316,4
105,1,3,1,335,1335,946,4
1958,1,4,2,1151,888,168,8
402,3,1,3,595,418,658,9
1054,1,4,2,1638,667,1658,3
823,1,3,1,46,97,1465,1
1160,2,2,2,1002,1261,990,5
1948,1,3,1,709,945,1650,1
1449,1,4,2,405,535,751,8
1686,1,3,1,1279,901,1376,1
1029,2,1,1,1302,1505,405,0
430,1,4,2,1449,1260,1796,2
1127,1,3,1,894,878,794,4
247,2,1,1,1357,881,436,0
1878,1,3,1,379,591,1035,3
1560,1,3,1,330,946,1878,1
1758,3,1,3,1654,1717,657,9
1519,1,4,2,704,1375,1616,8
1577,1,4,2,1141,471,129,8
1478,1,3,1,1485,27,22,6
652,2,1,1,1335,751,322,0
181,1,3,1,956,501,902,4
1012,3,1,3,173,1677,522,9
469,1,4,2,305,204,1880,2
725,2,2,2,567,1522,880,5
764,1,3,1,49,445,1691,1
593,1,3,1,1533,397,321,6
564,3,1,3,499,1468,429,9
750,1,4,2,1617,919,1265,8
1518,3,1,3,863,1214,598,9
1647,1,4,2,1385,1256,1083,4
341,2,1,1,6,564,346,0
1179,1,3,1,873,890,778,4
568,2,2,2,1697,334,673,5
235,2,1,1,1362,1761,514,0
1549,2,1,1,1284,416,356,0
461,1,5,3,731,794,124,8
1651,1,4,2,557,1601,931,4
1491,1,3,1,334,494,565,6
658,2,2,2,550,102,924,5
225,1,5,3,1091,1543,106,2
704,1,4,2,1036,1713,1419,1
1016,2,2,2,1267,1159,1132,5
1954,1,4,2,1106,1048,15,1
1570,2,1,1,534,228,279,0
1818,1,4,2,707,655,1847,2
1546,1,3,1,698,826,1685,6
633,2,1,1,17,1618,246,0
68,1,3,1,89,4,974,6
1534,1,3,1,1496,88,1637,1
64,2,1,1,1329,715,393,0
591,1,3,1,1530,1852,160,3
1380,3,1,3,359,496,483,9
516,1,3,1,70,1228,85,6
627,1,4,2,1631,1235,1230,8
507,2,2,2,1396,85,1238,7
1126,2,2,2,1394,1166,1296,5
1481,1,3,1,301,25,1684,4
354,2,2,2,170,1706,838,7
100,1,4,2,1027,1138,1613,4
110,1,3,1,632,637,1401,1
682,1,3,1,22,1188,664,4
400,2,1,1,883,450,354,0
1395,2,1,1,927,1487,324,0
897,2,2,2,867,1041,918,7
1471,3,1,3,531,1058,556,9
1893,1,3,1,920,410,1559,2
184,1,4,2,1455,848,1713,2
215,1,4,2,662,1504,1699,2
1785,1,5,3,1453,805,1798,2
18,1,3,1,178,593,734,4
1539,1,4,2,1006,1129,1273,4
346,2,2,2,1028,1269,1246,5
21,1,3,1,660,659,1474,1
1020,2,2,2,1267,1159,1132,7
1503,2,1,1,121,1036,245,0
1186,1,3,1,687,1856,1639,1
1712,1,3,1,387,1133,614,6
1407,3,1,3,348,50,445,9
608,2,1,1,877,1750,566,0
1177,2,2,2,1019,1518,1279,5
